Date,MSFT
2020-12-21,4.0
2020-12-22,1.350006103515625
2020-12-23,-2.9199981689453125
2020-12-24,1.7299957275390625
2020-12-28,2.2100067138671875
2020-12-29,-0.8100128173828125
2020-12-30,-2.470001220703125
2020-12-31,0.7400054931640625
2021-01-04,-4.7299957275390625
2021-01-05,0.209991455078125
2021-01-06,-5.649993896484375
2021-01-07,6.0399932861328125
2021-01-08,1.3300018310546875
2021-01-11,-2.1299896240234375
2021-01-12,-2.5600128173828125
2021-01-13,1.410003662109375
2021-01-14,-3.3199920654296875
2021-01-15,-0.3700103759765625
2021-01-19,3.790008544921875
2021-01-20,7.899993896484375
2021-01-21,0.6300048828125
2021-01-22,0.9799957275390625
2021-01-25,3.5800018310546875
2021-01-26,2.8000030517578125
2021-01-27,0.5699920654296875
