Date,AAPL
2020-12-15,6.099998474121094
2020-12-16,-0.06999969482421875
2020-12-17,0.8899993896484375
2020-12-18,-2.0399932861328125
2020-12-21,1.5699920654296875
2020-12-22,3.6500091552734375
2020-12-23,-0.9199981689453125
2020-12-24,1.0099945068359375
2020-12-28,4.720001220703125
2020-12-29,-1.82000732421875
2020-12-30,-1.149993896484375
2020-12-31,-1.029998779296875
2021-01-04,-3.279998779296875
2021-01-05,1.5999908447265625
2021-01-06,-4.409996032714844
2021-01-07,4.319999694824219
2021-01-08,1.1300048828125
2021-01-11,-3.07000732421875
2021-01-12,-0.17999267578125
2021-01-13,2.089996337890625
2021-01-14,-1.9799957275390625
2021-01-15,-1.7700042724609375
2021-01-19,0.69000244140625
2021-01-20,4.1999969482421875
2021-01-21,4.839996337890625
